schoolname,individualispjune2020,participatingincepsy2021,is_elem_exercise,is_charter_exercise,is_highschool_exercise
stove prairie elementary school,0,N,True,False,False
stewart county elementary school,0.7603,Y,True,False,False
desert springs elementary school,,N,True,False,False
saunemin elem school,0.38939999999999997,N,True,False,False
fifth district elementary,0.0275,N,True,False,False
paint branch elementary,0.2164,N,True,False,False
oak hill elem.,0.4074,N,True,False,False
lewis and clark elem.,0.9295,Y,True,False,False
linden elementary school,0.6604000000000001,Y,True,False,False
winchester avenue elementary school,0.6071428571428571,Y,True,False,False
frontier elementary school,8.51%,N,False,True,False
life source international charter,0.7201946472019465,Y,False,True,False
east valley senior high,0.45807770961145194,Y,False,True,False
children's community charter,0.8888888888888888,Y,False,True,False
south fork elementary,0.49640287769784175,Y,False,True,False
thomas edison charter academy                                   ,0.2855191256830601,N,False,True,False
moving everest charter school,0.8104000000000001,Y,False,True,False
okemos public montessori-central,0.0583,N,False,True,False
number 27,0.586,Y,False,True,False
south valley academy charter school,0.3892,N,False,True,False
brighter choice charter school-girls,0.9846625766871165,Y,False,True,False
buffalo collegiate charter school,0.7028571428571427,Y,False,True,False
neighborhood charter school of harle,0.7576197387518143,Y,False,True,False
"columbus humanities, arts and technology academy",0.4844,N,False,True,False
pawhuska es,,N,False,True,False
glenpool es,,N,False,True,False
mount pleasant area jshs,,N,False,False,True
huron high school,0.2867,N,False,False,True
thomson high school,0.4065,Y,False,False,True
kings county office of education highland facility,,N,False,False,True
clovis east high,0.2634956587391468,N,False,False,True
camden jr. high school,0,N,False,False,True
jackson junior high,0.3253333333333333,Y,False,False,True
emmett junior high school,,N,False,False,True
atkins high,0.1024,N,False,False,True
lexington senior high,0.485,Y,False,False,True
temple hs,,Y,False,False,True
forest hill high school,0.9086,Y,False,False,True
pittsfield high,0.439,Y,False,False,True
matanzas high school,0.3421,N,False,False,True
pontiac high school,0.7551000000000001,Y,False,False,True
